ticker,window_years,strategy,total_return,buy_hold_return,alpha,total_profit,win_rate,max_drawdown,sharpe_ratio,trades,winning_trades,ending_equity,error
META,5,Buy Hold,0.8233407709619311,0.8233407709619311,0.0,8233.407709619312,,,,1,,18233.40770961931,
META,5,RSI 30/70,-0.19701005412509598,0.8233407709619311,-1.0203508250870272,-1970.1005412509594,0.6,-0.7068847054556666,0.04014889014572167,15,9.0,8029.899458749041,
META,5,MA 5/20 Crossover,0.6924617796576,0.8233407709619311,-0.13087899130433112,6924.617796576,0.3888888888888889,-0.47445781795966735,0.5115726100863139,36,14.0,16924.617796576,
META,5,Momentum 20D,0.8074632697336823,0.8233407709619311,-0.015877501228248825,8074.632697336823,0.27450980392156865,-0.5060743855082217,0.5425626149465022,51,14.0,18074.632697336823,
META,5,Bollinger 20D/2SD,0.3160739838753075,0.8233407709619311,-0.5072667870866236,3160.739838753074,0.65,-0.28591306823936735,0.35857873827663594,20,13.0,13160.739838753074,
META,10,Buy Hold,4.166259849121804,4.166259849121804,0.0,41662.59849121804,,,,1,,51662.59849121804,
META,10,RSI 30/70,-0.09191974223783639,4.4755531957619015,-4.567472937999738,-919.1974223783636,0.625,-0.7068847054556667,0.10672443750334687,24,15.0,9080.802577621636,
META,10,MA 5/20 Crossover,1.0781377771254634,4.374376031929206,-3.2962382548037423,10781.377771254633,0.41025641025641024,-0.5142521702863001,0.4111115411049991,78,32.0,20781.377771254633,
META,10,Momentum 20D,1.469831283174504,4.166259849121804,-2.6964285659473,14698.31283174504,0.34545454545454546,-0.5663495028722911,0.4692859900924926,110,38.0,24698.31283174504,
META,10,Bollinger 20D/2SD,0.8636030291059182,4.166259849121804,-3.302656820015886,8636.030291059182,0.6842105263157895,-0.2859130682393676,0.4085651281643186,38,26.0,18636.03029105918,
SPY,5,Buy Hold,0.7725195351098522,0.7725195351098522,0.0,7725.195351098521,,,,1,,17725.195351098522,
SPY,5,RSI 30/70,0.3091332006370675,0.7725195351098522,-0.46338633447278466,3091.332006370676,0.7692307692307693,-0.18843859412204877,0.47048771680589657,13,10.0,13091.332006370676,
SPY,5,MA 5/20 Crossover,0.7556988378631493,0.7725195351098522,-0.016820697246702876,7556.988378631493,0.5135135135135135,-0.17648133310480862,1.1143193941943759,37,19.0,17556.988378631493,
SPY,5,Momentum 20D,0.5805967036997621,0.7725195351098522,-0.19192283141009003,5805.967036997621,0.5652173913043478,-0.14549814171776243,0.9075543653786052,46,26.0,15805.967036997621,
SPY,5,Bollinger 20D/2SD,0.41389831042222713,0.7725195351098522,-0.35862122468762503,4138.98310422227,0.8333333333333334,-0.09229479869678991,0.6598654539990872,24,20.0,14138.98310422227,
SPY,10,Buy Hold,2.5407617943902236,2.5407617943902236,0.0,25407.617943902238,,,,1,,35407.61794390224,
SPY,10,RSI 30/70,0.820482829495639,2.6820508100244025,-1.8615679805287635,8204.82829495639,0.8076923076923077,-0.29107681305488653,0.4912990927562891,26,21.0,18204.82829495639,
SPY,10,MA 5/20 Crossover,1.8008662081446212,2.5648820187831682,-0.7640158106385471,18008.66208144621,0.5223880597014925,-0.17648133310480885,1.0241201658459709,67,35.0,28008.66208144621,
SPY,10,Momentum 20D,1.515135991840268,2.5407617943902236,-1.0256258025499556,15151.359918402679,0.53125,-0.14549814171776243,0.9171930264495932,96,51.0,25151.35991840268,
SPY,10,Bollinger 20D/2SD,0.7011420619150368,2.5407617943902236,-1.8396197324751868,7011.420619150369,0.8409090909090909,-0.2921300773750939,0.47099838453750803,44,37.0,17011.42061915037,
